View,Function,FunctionDescription
eiatype-search-view,eiatype-show,shows-the-search-view-for-types-of-equipment
eiatype-search-view,eiatype-search,searchs-general-or-especifics-types-of-equipment
eiatype-search-view,eiatype-delete,deletes-a-type-of-equipment
eiatype-add-view,eiatype-add,adds-new-types-of-equipment
eiatype-information-subtab,eiatype-update,edit-the-equipment-type-information-previously-created
eiatype-equipment-subtab,eiatype-equipment-show,shows-the-equipment-view-for-types-of-equipment
eiatype-equipment-subtab,eiatype-equipment-add,adds-new-equipments
eiatype-equipment-subtab,eiatype-equipment-delete,delete-the-equipment-selected-from-the-category-of-equipment-type
eiatype-equipment-subtab,eiatype-equipment-update,edit-the-information-of-some-equipments-type-previously-created
eiatype-component-subtab,eiatype-component-show,shows-the-components-view-for-types-of-equipment
eiatype-component-subtab,eiatype-component-search,searchs-and-adds-a-type-of-equipment-as-component
eiatype-component-subtab,eiatype-component-delete,delete-the-component-selected-from-the-category-of-equipment-type
eiatype-material-subtab,eiatype-material-show,shows-the-material-view-for-types-of-equipment
eiatype-material-subtab,eiatype-material-search,searchs-and-adds-a-type-of-equipment-as-material
eiatype-material-subtab,eiatype-material-add,adds-new-materials
eiatype-material-subtab,eiatype-material-delete,delete-the-material-selected-from-the-category-of-equipment-type
eiatype-service-subtab,eiatype-service-show,shows-the-material-view-for-types-of-equipment
eiatype-service-subtab,eiatype-service-search,searchs-and-adds-a-type-of-equipment-as-service
eiatype-service-subtab,eiatype-service-add,adds-new-services
eiatype-service-subtab,eiatype-service-delete,delete-the-service-selected-from-the-category-of-equipment-type
eia-seach-view,eia-show,shows-the-search-view-for-equipment
eia-seach-view,traeia-search,searchs-general-or-especifics-equipment
eia-seach-view,eia-delete,deletes-an-equipment
eia-add-view,eia-add,adds-new-equipments
eia-information-subtab,eia-update,edit -the-equipments-information-previously-created
eia-component-subtab,eia-component-show,shows-the-components-view -for-equipment
eia-component-subtab,eia-component-search,searchs-and-adds-an-equipment-as-component
eia-component-subtab,eia-component-delete,delete-the-component-selected-from-the-category-of-equipment
eia-report-subtab,eia-report-show,shows-the-report-view-for-equipment
eia-report-subtab,eia-report-create,create-a-report-of-equipments-using-filters-of-your-choice
users-each-view,user-show,shows-the-search-view-for-user-administrartion
users-each-view,user-search,searchs-general-or-especifics-users
users-each-view,user-delete,deletes-an-user
user-add-view,user-add,adds-new-users
user-information-subtab,user-update,edit-the-users-information-previously-created
user-login-subtab,user-login-show,show-the-information-about-users-connected-in-a-period-of-time
user-credential-subtab,user-credential-show,show-the-information-about-users-credentials
user-credential-subtab,user-credential-update,edit-the-credentials-of-one-or-more-users
man-csearch-subtab,man-credential-update,edit-the-actv-of-one-or-more-plan
man-csearch-subtab,man-credential-update,edit-the-actv-of-one-or-more-plan
main-view,view,view
main-view,view,view
